               2-THETA      INTENSITY    D-SPACING   H   K   L
                27.40          8.77        3.2572    1   1   1
                31.73        100.00        2.8208    2   0   0
                45.47         61.00        1.9946    2   2   0
                53.89          2.21        1.7010    3   1   1
                56.49         18.23        1.6286    2   2   2
                66.24          7.42        1.4104    4   0   0
                73.08          1.06        1.2943    3   3   1
                75.31         18.39        1.2615    4   2   0
                84.00         12.69        1.1516    4   2   2
                84.00         12.69        1.1516    4   2   2
