               2-THETA      INTENSITY    D-SPACING   H   K   L
                18.36          9.56        4.8313    1   1   1
                30.21         26.53        2.9585    2   2   0
                35.58        100.00        2.5230    3   1   1
                37.22         22.46        2.4156    2   2   2
                43.25         35.33        2.0920    4   0   0
                53.66          9.13        1.7081    4   2   2
                57.20         25.58        1.6104    5   1   1
                57.20          6.62        1.6104    3   3   3
                62.82         55.25        1.4793    4   4   0
                66.05          1.36        1.4145    5   3   1
                71.28          3.41        1.3231    6   2   0
                74.33          9.33        1.2761    5   3   3
                75.34         10.96        1.2615    6   2   2
                79.33          4.72        1.2078    4   4   4
                87.17          3.83        1.1182    6   4   2
