               2-THETA      INTENSITY    D-SPACING   H   K   L
                20.88         19.92        4.2551    1   0   0
                26.66         69.90        3.3432    0   1   1
                26.66         30.10        3.3432    1   0   1
                36.58          7.13        2.4567    1   1   0
                39.51          1.01        2.2810    0   1   2
                39.51          6.18        2.2810    1   0   2
                40.33          3.19        2.2365    1   1   1
                42.49          5.24        2.1276    2   0   0
                45.84          1.00        1.9797    0   2   1
                45.84          2.09        1.9797    2   0   1
                50.19         12.58        1.8177    1   1   2
                54.93          3.09        1.6716    0   2   2
                55.38          1.61        1.6589    0   1   3
                60.02          4.93        1.5415    1   2   1
                60.02          4.11        1.5415    2   1   1
                64.10          1.72        1.4527    1   1   3
                67.81          1.38        1.3820    2   1   2
                67.81          4.18        1.3820    1   2   2
                68.22          1.36        1.3748    0   2   3
                68.22          5.31        1.3748    2   0   3
                68.38          4.13        1.3719    0   3   1
                73.55          1.73        1.2877    1   0   4
                75.74          1.91        1.2559    3   0   2
                79.97          2.30        1.1997    2   1   3
                81.26          2.41        1.1838    1   1   4
